epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46378,1.89341,4.60031,1.4464,0,0,0,0,1.80517,4.90322,1.83845,0,0,0
2,10.1288,1.92411,4.62109,1.4874,0,0,0,0,1.78096,4.90084,1.82535,5.76358e-06,5.76358e-06,5.76358e-06
3,14.6108,1.7779,4.51547,1.42997,0,0,0,0,1.72374,4.89616,1.78513,1.12943e-05,1.12943e-05,1.12943e-05
4,19.4455,1.77828,4.51876,1.41433,0,0,0,0,1.64401,4.88635,1.72215,1.65922e-05,1.65922e-05,1.65922e-05
5,24.6211,1.78648,4.65348,1.39402,0,0,0,0,1.53971,4.87047,1.65845,2.16572e-05,2.16572e-05,2.16572e-05
6,29.591,1.68113,4.59302,1.30599,0,0,0,0,1.43832,4.85082,1.59659,2.64894e-05,2.64894e-05,2.64894e-05
7,33.9349,1.52289,4.44614,1.2067,0,0,0,0,1.34114,4.81878,1.49604,3.10887e-05,3.10887e-05,3.10887e-05
8,38.3031,1.56795,4.34054,1.22081,0,0,0,0,1.19739,4.73778,1.34927,3.54552e-05,3.54552e-05,3.54552e-05
9,42.7056,1.50292,4.35242,1.21019,0,0,0,0,1.13959,4.65119,1.23893,3.95889e-05,3.95889e-05,3.95889e-05
10,47.2514,1.35463,4.30176,1.13533,0,0,0,0,1.08194,4.58279,1.1408,4.34897e-05,4.34897e-05,4.34897e-05
11,51.571,1.33988,4.24106,1.11989,0,0,0,0,1.04699,4.45888,1.04915,4.71576e-05,4.71576e-05,4.71576e-05
12,55.986,1.26768,4.21064,1.07885,0,0,0,0,1.03214,4.36575,0.98563,5.05927e-05,5.05927e-05,5.05927e-05
13,60.9424,1.24698,4.22421,1.05071,0,0,0,0,1.0365,4.30174,0.94897,5.37949e-05,5.37949e-05,5.37949e-05
14,65.2215,1.20712,4.05987,1.06079,0,0,0,0,1.04401,4.27808,0.93473,5.67643e-05,5.67643e-05,5.67643e-05
15,69.7563,1.27568,4.10663,1.06086,0,0,0,0,1.05612,4.26681,0.93216,5.95009e-05,5.95009e-05,5.95009e-05
16,74.4565,1.23809,4.04548,1.03147,0,0,0,0,1.05626,4.25178,0.92787,6.20046e-05,6.20046e-05,6.20046e-05
17,78.8527,1.25242,4.01605,1.06132,0,0,0,0,1.0609,4.24303,0.93249,6.42755e-05,6.42755e-05,6.42755e-05
18,83.3733,1.29683,3.95254,1.06688,0,0,0,0,1.0609,4.24303,0.93249,6.63135e-05,6.63135e-05,6.63135e-05
19,87.8127,1.25363,3.96211,1.02449,0,0,0,0,1.06073,4.23338,0.93302,6.81186e-05,6.81186e-05,6.81186e-05
20,92.1806,1.22024,3.78896,1.03415,0,0,0,0,1.06073,4.23338,0.93302,6.96909e-05,6.96909e-05,6.96909e-05
21,97.1805,1.27104,3.99046,1.01946,0.01263,0.03846,0.02509,0.02217,1.0612,4.21776,0.92641,7.10304e-05,7.10304e-05,7.10304e-05
22,101.458,1.26434,3.77988,1.01525,0.01263,0.03846,0.02509,0.02217,1.0612,4.21776,0.92641,7.2137e-05,7.2137e-05,7.2137e-05
23,105.763,1.1955,3.7422,1.0189,0.01723,0.13462,0.05215,0.02658,1.06205,4.19181,0.93039,7.30108e-05,7.30108e-05,7.30108e-05
24,110.063,1.24698,3.73717,1.0392,0.01723,0.13462,0.05215,0.02658,1.06205,4.19181,0.93039,7.36517e-05,7.36517e-05,7.36517e-05
25,115.018,1.28892,3.94004,1.00762,0.02503,0.40385,0.116,0.07034,1.07042,4.13943,0.9226,7.40598e-05,7.40598e-05,7.40598e-05
26,120.053,1.24686,3.7279,0.99344,0.02503,0.40385,0.116,0.07034,1.07042,4.13943,0.9226,7.4235e-05,7.4235e-05,7.4235e-05
27,124.617,1.21885,3.68,1.00873,0.02476,0.53846,0.14129,0.09022,1.06377,4.07901,0.90803,7.41774e-05,7.41774e-05,7.41774e-05
28,129.283,1.23149,3.7019,0.99167,0.02476,0.53846,0.14129,0.09022,1.06377,4.07901,0.90803,7.38869e-05,7.38869e-05,7.38869e-05
29,134.708,1.20864,3.65402,0.99518,0.0268,0.59615,0.13869,0.09195,1.06155,4.0372,0.90267,7.33636e-05,7.33636e-05,7.33636e-05
30,139.936,1.1813,3.51394,0.99867,0.0268,0.59615,0.13869,0.09195,1.06155,4.0372,0.90267,7.26074e-05,7.26074e-05,7.26074e-05
31,144.274,1.19746,3.48171,0.99934,0.0336,0.69231,0.15243,0.10281,1.07294,3.98978,0.89349,7.16184e-05,7.16184e-05,7.16184e-05
32,148.571,1.20604,3.55483,0.99191,0.0336,0.69231,0.15243,0.10281,1.07294,3.98978,0.89349,7.03965e-05,7.03965e-05,7.03965e-05
33,152.977,1.22674,3.50434,0.99951,0.03266,0.73077,0.15693,0.10826,1.07255,3.95342,0.89057,6.89418e-05,6.89418e-05,6.89418e-05
